,Nods pr el,Tot nods,xC,yC,Tot.react.force x,Tot.react.force y,exist impl.
0,3.0,27.0,6.513959495720738e-05,0.03682245762472785,0.5690780282020569,-2999999.75,0.0
1,3.0,55.0,3.753831619064488e-05,0.05127469315199716,0.7125314474105835,-3000000.0,0.0
2,3.0,91.0,2.3994195148054984e-05,0.057916378437724826,0.27088406682014465,-3000000.0,0.0
3,3.0,135.0,1.669161082988698e-05,0.061835950802165446,1.0680696964263916,-3000000.0,0.0
4,3.0,187.0,1.2306657731439573e-05,0.06440733181327084,-0.38676226139068604,-3000000.0,0.0
5,3.0,247.0,9.464555858147332e-06,0.0661991314490687,2.7417688369750977,-3000000.0,0.0
6,3.0,315.0,7.516789150653624e-06,0.067500738851062,-1.7596557140350342,-3000000.25,0.0
7,3.0,391.0,6.123855611298742e-06,0.06847671329605175,0.8895210027694702,-3000000.25,0.0
8,3.0,475.0,5.093506941658075e-06,0.06922741442033813,4.592174530029297,-3000000.25,0.0
9,3.0,567.0,4.310072071226083e-06,0.06981718784864288,-1.3865633010864258,-3000000.0,0.0
10,3.0,667.0,3.7005154466832234e-06,0.0702889185105789,1.9755349159240723,-3000000.0,0.0
11,3.0,775.0,3.2168724339677575e-06,0.07067210427980257,4.024451732635498,-3000000.0,0.0
12,3.0,891.0,2.826595353648251e-06,0.07098758015890382,-2.3763554096221924,-3000000.0,0.0
13,3.0,1015.0,2.506977578484023e-06,0.0712504012655702,-1.38040292263031,-3000000.0,0.0
14,3.0,1147.0,2.241796419847685e-06,0.07147166438004703,-0.21186545491218567,-2999999.75,0.0
15,3.0,1287.0,2.0192189626331195e-06,0.07165969310935029,-0.0512935072183609,-3000000.0,0.0
16,3.0,1435.0,1.8304554208731253e-06,0.07182082893234358,3.023588180541992,-3000000.0,0.0
17,3.0,1591.0,1.6688699100031092e-06,0.07195997122234585,0.19249486923217773,-3000000.0,0.0
18,3.0,1755.0,1.529379283927303e-06,0.07208095306071094,7.600423812866211,-3000000.0,0.0
19,3.0,1927.0,1.4080384402781188e-06,0.07218680789466586,-3.9660425186157227,-3000000.25,0.0
20,3.0,2107.0,1.3017486867201594e-06,0.07227996141018435,-1.909030795097351,-3000000.0,0.0
21,3.0,2295.0,1.208049474730921e-06,0.07236237191602979,-1.5970563888549805,-3000000.25,0.0
22,3.0,2491.0,1.1249672790444873e-06,0.07243563429627341,0.5148535966873169,-3000000.0,0.0
23,3.0,2695.0,1.0509043595286786e-06,0.0725010579832265,5.958539962768555,-3000000.0,0.0
24,3.0,2907.0,9.845561686460107e-07,0.07255972612557261,1.1980626583099365,-3000000.25,0.0
25,3.0,27.0,6.513959495734996e-05,0.03682245762472869,0.5690780878067017,-2999999.75,1.0
26,3.0,55.0,3.753831619064488e-05,0.05127469315199716,0.7125314474105835,-3000000.0,1.0
27,3.0,91.0,2.3994195148048966e-05,0.05791637843767764,0.27087557315826416,-3000000.0,1.0
28,3.0,135.0,1.6691610830017318e-05,0.061835950802214344,1.0680756568908691,-3000000.0,1.0
29,3.0,187.0,1.2306657731185922e-05,0.06440733181315374,-0.3867775797843933,-3000000.0,1.0
30,3.0,247.0,9.464555858705904e-06,0.06619913144937302,2.7418015003204346,-3000000.0,1.0
31,3.0,315.0,7.516789149610576e-06,0.06750073884895558,-1.7598484754562378,-3000000.25,1.0
32,3.0,391.0,6.1238556160142326e-06,0.0684767132967145,0.8895705342292786,-3000000.25,1.0
33,3.0,475.0,5.093506943899418e-06,0.06922741442067121,4.592188835144043,-3000000.25,1.0
34,3.0,567.0,4.31007207101393e-06,0.0698171878474379,-1.3866454362869263,-3000000.0,1.0
35,3.0,667.0,3.7005154503921067e-06,0.070288918510008,1.9755115509033203,-3000000.0,1.0
36,3.0,775.0,3.216872432548882e-06,0.07067210428148818,4.024535179138184,-3000000.0,1.0
37,3.0,891.0,2.8265953536563084e-06,0.07098758016175995,-2.376206159591675,-3000000.0,1.0
38,3.0,1015.0,2.5069775784279254e-06,0.07125040126438005,-1.380452036857605,-3000000.0,1.0
39,3.0,1147.0,2.2417964156228103e-06,0.07147166438305062,-0.21172496676445007,-2999999.75,1.0
40,3.0,1287.0,2.019218957741364e-06,0.0716596931059301,-0.05144836753606796,-3000000.0,1.0
41,3.0,1435.0,1.8304554185472408e-06,0.07182082893463476,3.0236833095550537,-3000000.0,1.0
42,3.0,1591.0,1.668869908963448e-06,0.07195997122309218,0.19253911077976227,-3000000.0,1.0
43,3.0,1755.0,1.5293792987433536e-06,0.07208095306319345,7.60052490234375,-3000000.0,1.0
44,3.0,1927.0,1.4080384341318686e-06,0.07218680788677616,-3.966336488723755,-3000000.25,1.0
45,3.0,2107.0,1.301748681860089e-06,0.07227996141127697,-1.909000039100647,-3000000.0,1.0
46,3.0,2295.0,1.2080494681584816e-06,0.07236237191298568,-1.5971546173095703,-3000000.25,1.0
47,3.0,2491.0,1.1249672756329056e-06,0.07243563428944745,0.5146344900131226,-3000000.0,1.0
48,3.0,2695.0,1.0509043589328815e-06,0.07250105798271131,5.958518981933594,-3000000.0,1.0
49,3.0,2907.0,9.845561965157967e-07,0.07255972610303776,1.1973857879638672,-3000000.25,1.0
50,4.0,27.0,2.05725614219677e-17,0.06196730436780856,2.4959444999694824e-07,-3000000.0,0.0
51,4.0,55.0,-3.5411938731950173e-17,0.06617341115627617,-0.6732403039932251,-3000000.25,0.0
52,4.0,91.0,1.3816338754158238e-16,0.06828903734658298,-0.5787769556045532,-3000000.0,0.0
